"","x","items","count","total","rnd","customer","age","city","payment_type"
"1",1,"citrus fruit,semi-finished bread,margarine,ready soups",4,1612,9,"Maged",60,"Hurghada","Cash"
"2",2,"tropical fruit,yogurt,coffee",3,509,12,"Eman",23,"Aswan","Cash"
"3",3,"whole milk",1,2084,8,"Rania",37,"Dakahlia","Cash"
"4",4,"pip fruit,yogurt,cream cheese ,meat spreads",4,788,8,"Rania",37,"Dakahlia","Cash"
"5",5,"other vegetables,whole milk,condensed milk,long life bakery product",4,1182,14,"Magdy",36,"Sohag","Cash"
"6",6,"whole milk,butter,yogurt,rice,abrasive cleaner",5,1771,3,"Ahmed",30,"Giza","Credit"
"7",7,"rolls/buns",1,2196,7,"Huda",39,"Gharbia","Cash"
"8",8,"other vegetables,UHT-milk,rolls/buns,bottled beer,liquor (appetizer)",5,1657,6,"Walaa",29,"Cairo","Cash"
"9",9,"pot plants",1,2373,2,"Mohamed",25,"Alexandria","Credit"
"10",10,"whole milk,cereals",2,343,5,"Shimaa",55,"Port Said","Cash"
"11",11,"tropical fruit,other vegetables,white bread,bottled water,chocolate",5,1381,2,"Mohamed",25,"Alexandria","Cash"
"12",12,"citrus fruit,tropical fruit,whole milk,butter,curd,yogurt,flour,bottled water,dishes",9,1965,1,"Farida",22,"Cairo","Credit"
"13",13,"beef",1,784,11,"Hanan",22,"Fayoum","Cash"
"14",14,"frankfurter,rolls/buns,soda",3,1001,7,"Huda",39,"Gharbia","Credit"
"15",15,"chicken,tropical fruit",2,1579,13,"Sayed",37,"Cairo","Credit"
"16",16,"butter,sugar,fruit/vegetable juice,newspapers",4,585,8,"Rania",37,"Dakahlia","Credit"
"17",17,"fruit/vegetable juice",1,184,5,"Shimaa",55,"Port Said","Cash"
"18",18,"packaged fruit/vegetables",1,1737,12,"Eman",23,"Aswan","Cash"
"19",19,"chocolate",1,184,6,"Walaa",29,"Cairo","Cash"
"20",20,"specialty bar",1,469,7,"Huda",39,"Gharbia","Cash"
"21",21,"other vegetables",1,408,5,"Shimaa",55,"Port Said","Cash"
"22",22,"butter milk,pastry",2,2252,7,"Huda",39,"Gharbia","Credit"
"23",23,"whole milk",1,1538,3,"Ahmed",30,"Giza","Cash"
"24",24,"tropical fruit,cream cheese ,processed cheese,detergent,newspapers",5,1215,9,"Maged",60,"Hurghada","Credit"
"25",25,"tropical fruit,root vegetables,other vegetables,frozen dessert,rolls/buns,flour,sweet spreads,salty snack,waffles,candy,bathroom cleaner",11,1762,4,"Adel",50,"Alexandria","Credit"
"26",26,"bottled water,canned beer",2,2384,15,"Sameh",35,"Hurghada","Cash"
"27",27,"yogurt",1,599,1,"Farida",22,"Cairo","Cash"
"28",28,"sausage,rolls/buns,soda,chocolate",4,2360,10,"Samy",55,"Alexandria","Credit"
"29",29,"other vegetables",1,1906,1,"Farida",22,"Cairo","Credit"
"30",30,"brown bread,soda,fruit/vegetable juice,canned beer,newspapers,shopping bags",6,391,13,"Sayed",37,"Cairo","Cash"
"31",31,"yogurt,beverages,bottled water,specialty bar",4,556,3,"Ahmed",30,"Giza","Cash"
"32",32,"hamburger meat,other vegetables,rolls/buns,spices,bottled water,hygiene articles,napkins",7,1821,5,"Shimaa",55,"Port Said","Cash"
"33",33,"root vegetables,other vegetables,whole milk,beverages,sugar",5,676,3,"Ahmed",30,"Giza","Credit"
"34",34,"pork,berries,other vegetables,whole milk,whipped/sour cream,artif. sweetener,soda,abrasive cleaner",8,988,8,"Rania",37,"Dakahlia","Credit"
"35",35,"beef,grapes,detergent",3,148,13,"Sayed",37,"Cairo","Credit"
"36",36,"pastry,soda",2,1009,8,"Rania",37,"Dakahlia","Credit"
"37",37,"fruit/vegetable juice",1,1760,14,"Magdy",36,"Sohag","Cash"
"38",38,"canned beer",1,1465,6,"Walaa",29,"Cairo","Credit"
"39",39,"root vegetables,other vegetables,whole milk,dessert",4,2374,6,"Walaa",29,"Cairo","Credit"
"40",40,"citrus fruit,zwieback,newspapers",3,416,4,"Adel",50,"Alexandria","Cash"
"41",41,"sausage,rolls/buns,soda,canned beer,specialty bar,shopping bags",6,2117,10,"Samy",55,"Alexandria","Credit"
"42",42,"tropical fruit,root vegetables,whole milk,yogurt,domestic eggs,brown bread,pastry,sugar,cereals,coffee,soda,waffles,candy",13,1287,13,"Sayed",37,"Cairo","Cash"
"43",43,"berries,yogurt",2,443,15,"Sameh",35,"Hurghada","Cash"
"44",44,"canned beer",1,1225,15,"Sameh",35,"Hurghada","Credit"
"45",45,"butter milk,yogurt,cream cheese ,spread cheese,rolls/buns,bottled water,soda,newspapers",8,1413,8,"Rania",37,"Dakahlia","Credit"
"46",46,"coffee",1,1983,2,"Mohamed",25,"Alexandria","Cash"
"47",47,"pastry,bottled water",2,730,1,"Farida",22,"Cairo","Credit"
"48",48,"rolls/buns",1,2430,10,"Samy",55,"Alexandria","Credit"
"49",49,"misc. beverages",1,194,12,"Eman",23,"Aswan","Credit"
"50",50,"root vegetables,other vegetables,butter,curd,whipped/sour cream,UHT-milk,hard cheese,rolls/buns,bottled water,long life bakery product",10,2232,5,"Shimaa",55,"Port Said","Credit"
"51",51,"sausage,rolls/buns,cat food,newspapers",4,2276,9,"Maged",60,"Hurghada","Cash"
"52",52,"canned beer",1,569,15,"Sameh",35,"Hurghada","Credit"
"53",53,"ham,grapes,other vegetables,whole milk",4,1597,10,"Samy",55,"Alexandria","Cash"
"54",54,"turkey,tropical fruit,other vegetables,curd,domestic eggs,brown bread,semi-finished bread,margarine,baking powder,fruit/vegetable juice",10,433,5,"Shimaa",55,"Port Said","Cash"
"55",55,"whole milk,yogurt,processed cheese,pickled vegetables,soda",5,114,9,"Maged",60,"Hurghada","Cash"
"56",56,"whole milk,curd,yogurt,pastry",4,1026,2,"Mohamed",25,"Alexandria","Credit"
"57",57,"packaged fruit/vegetables,brown bread,canned beer",3,2236,11,"Hanan",22,"Fayoum","Cash"
"58",58,"rolls/buns,oil,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins",7,1372,5,"Shimaa",55,"Port Said","Credit"
"59",59,"ham,beef,whipped/sour cream,ice cream,rolls/buns,cat food",6,384,4,"Adel",50,"Alexandria","Cash"
"60",60,"rolls/buns,pastry,sugar",3,1743,8,"Rania",37,"Dakahlia","Cash"
"61",61,"other vegetables,whole milk,frozen vegetables,canned fish,salty snack,seasonal products,detergent",7,2146,11,"Hanan",22,"Fayoum","Credit"
"62",62,"sausage,pastry",2,912,12,"Eman",23,"Aswan","Cash"
"63",63,"sausage,beef,whole milk",3,222,4,"Adel",50,"Alexandria","Credit"
"64",64,"frankfurter,tropical fruit,rolls/buns,brown bread,sugar",5,688,14,"Magdy",36,"Sohag","Cash"
"65",65,"rolls/buns,pastry,soda",3,1645,2,"Mohamed",25,"Alexandria","Cash"
"66",66,"whole milk",1,453,1,"Farida",22,"Cairo","Credit"
"67",67,"curd cheese,coffee",2,2455,2,"Mohamed",25,"Alexandria","Cash"
"68",68,"red/blush wine,newspapers",2,1261,3,"Ahmed",30,"Giza","Credit"
"69",69,"sausage,whole milk,curd",3,975,5,"Shimaa",55,"Port Said","Cash"
"70",70,"tropical fruit,pip fruit,berries,whole milk,frozen potato products,rolls/buns,pickled vegetables,chocolate",8,1841,2,"Mohamed",25,"Alexandria","Cash"
"71",71,"red/blush wine",1,1967,4,"Adel",50,"Alexandria","Cash"
"72",72,"whole milk,butter,margarine,specialty fat,specialty chocolate,candles,flower (seeds)",7,1853,14,"Magdy",36,"Sohag","Credit"
"73",73,"frankfurter,citrus fruit,whole milk,domestic eggs,oil,sparkling wine,specialty chocolate,newspapers",8,1479,2,"Mohamed",25,"Alexandria","Credit"
"74",74,"whole milk,meat spreads,soda",3,2097,10,"Samy",55,"Alexandria","Credit"
"75",75,"frozen potato products",1,1759,4,"Adel",50,"Alexandria","Cash"
"76",76,"other vegetables,whole milk,rolls/buns,sugar",4,2142,9,"Maged",60,"Hurghada","Cash"
"77",77,"citrus fruit,whole milk,curd,butter milk,pastry",5,1390,9,"Maged",60,"Hurghada","Cash"
"78",78,"flour,salt,bottled water,fruit/vegetable juice,bottled beer",5,2079,1,"Farida",22,"Cairo","Credit"
"79",79,"sugar,bottled water,soda,bottled beer",4,242,12,"Eman",23,"Aswan","Cash"
"80",80,"frozen meals,coffee",2,1083,7,"Huda",39,"Gharbia","Credit"
"81",81,"chocolate",1,702,10,"Samy",55,"Alexandria","Credit"
"82",82,"root vegetables,whole milk,frozen vegetables,domestic eggs,rolls/buns,oil,margarine,canned vegetables,fruit/vegetable juice,bathroom cleaner",10,870,12,"Eman",23,"Aswan","Cash"
"83",83,"root vegetables,onions,hard cheese,frozen vegetables",4,454,12,"Eman",23,"Aswan","Cash"
"84",84,"herbs,condensed milk,frozen vegetables,salt,oil,white wine,candles",7,328,13,"Sayed",37,"Cairo","Credit"
"85",85,"bottled water",1,906,3,"Ahmed",30,"Giza","Credit"
"86",86,"sausage,root vegetables,onions,yogurt,rolls/buns,brandy,detergent",7,2270,15,"Sameh",35,"Hurghada","Cash"
"87",87,"coffee,newspapers",2,1228,9,"Maged",60,"Hurghada","Credit"
"88",88,"pork,other vegetables,whipped/sour cream",3,563,14,"Magdy",36,"Sohag","Cash"
"89",89,"berries,yogurt",2,2353,4,"Adel",50,"Alexandria","Credit"
"90",90,"soda",1,748,6,"Walaa",29,"Cairo","Cash"
"91",91,"berries",1,705,7,"Huda",39,"Gharbia","Cash"
"92",92,"fruit/vegetable juice,salty snack,candles",3,1133,1,"Farida",22,"Cairo","Credit"
"93",93,"citrus fruit,butter milk,yogurt,cream cheese ",4,2133,5,"Shimaa",55,"Port Said","Credit"
